"anonid" "age_bin" "genderFM" "syn_selfreport" "ConsistencyScore" "SynStatus" "r" "StructureScore" "p-value"
"91" "146a930f-3690-42fe-a650-97a7ad2b5fca" "(38,48]" "female" "no" 150.397228000479 "NonSyn" 0.255367615935 "z-score" 0.0093
"92" "14895e4f-171b-4a39-a7fa-0003fb477c16" "(48,58]" "female" "dunno" 126.282752553936 "Syn" 0.256986802083 "z-score" 2e-04
"93" "14a02dc3-fb24-4f83-a3fd-6ec6b3f69f01" "(58,68]" "male" "dunno" 420.322111720983 "NonSyn" 0.00398950574456 "z-score" 0.3557
"94" "158fd371-fb6a-4ab8-badb-97d671724069" "(38,48]" "female" "dunno" 184.479860626149 "NonSyn" 0.146999405328 "z-score" 0.0192
"95" "15bb5d3e-837a-4ebf-8c79-88930063ec66" "[18,28]" "female" "no" 161.348028534395 "NonSyn" 0.492306946788 "z-score" 5e-04
"96" "15fa8f71-6900-41b2-945b-522382a58307" "(48,58]" "male" "no" 278.995296208504 "NonSyn" 0.495874931635 "z-score" 2e-04
"97" "1604630c-e8a0-4842-a12c-ab3d160330d1" "(58,68]" "male" "dunno" 107.350308660265 "Syn" 0.28687692816 "z-score" 0.0278
"98" "167721c5-2c2c-40e3-ad3a-25bfe9166992" "[18,28]" "male" "dunno" 269.258424562971 "NonSyn" 0.110528971693 "z-score" 0.0171
"99" "16a207e6-7ce0-4493-9588-f9492c0c50dc" NA NA NA 373.192168819814 "NonSyn" 0.0273415631567 "z-score" 0.1313
"100" "16a2d1c6-3c84-45c6-a741-afa1db5d9ea0" "(48,58]" NA NA 226.471184382579 "NonSyn" 0.483679918184 "z-score" 6e-04
"101" "1754cdbd-a1eb-4712-92ef-e1cac251dce6" "(48,58]" "female" "dunno" 182.406056922026 "NonSyn" 0.235702946853 "z-score" 0.0013
"102" "176c121a-456f-473f-841c-65227a1a817e" "[18,28]" "male" "dunno" 57.807390903475 "Syn" 0.577464332297 "z-score" 5e-04
"103" "179f22e0-c001-4f2d-b560-7b1053c9167e" "(58,68]" "male" "dunno" 204.03200415145 "NonSyn" 0.280073615968 "z-score" 0.0016
"104" "17a3a0ed-9355-4caf-bb00-9f7b628a48f1" "[18,28]" "female" "no" 89.318326524224 "Syn" 0.209728569194 "z-score" 0.0324
"105" "180c1d9d-8490-45f6-a4dd-a0688bf8fb59" NA NA NA 145.370476146871 "NonSyn" 0.470440755381 "z-score" 1e-04
"106" "18b92a52-3697-44e2-a43b-948b0122fc08" "[18,28]" "female" "yes" 121.716656245322 "Syn" 0.355647832497 "z-score" 6e-04
"107" "18c9582d-8217-4e97-ab15-deae1b0a2d9b" NA NA NA NA NA NA "z-score" NA
