"anonid" "setname" "item" "color1" "color2" "color3" "timing1" "timing2" "timing3"
"91" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "01" "#E8F50A" "#F9FA05" "#C1E718" 1473 1773 2367
"92" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "06" "#09FA05" "#ED8212" "#05F9FA" 1068 2629 4081
"93" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "04" "#96F807" "#04FB79" "#B4B44B" 1208 3866 1835
"94" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "10" "#A14FB0" "#2806F9" "#C2F807" 1813 2271 3448
"95" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "16" "#F7F008" "#E1EE11" "#F0F708" 5361 1975 1057
"96" "0127d04d-0070-4bec-a004-2e658edac121" "set1" "07" "#956A8A" "#8241BE" "#F76A08" 2728 2529 2510
"97" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "12" "#262224" "#44453D" "#A7586A" 11369 21379 1608
"98" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "09" "#6F936C" "#AA8455" "#916E8B" 2932 6072 1872
"99" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "14" "#555D4F" "#8A7975" "#936E6C" 9524 3344 3363
"100" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "13" "#8B8774" "#977768" "#B66F49" 9871 1308 4853
"101" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "08" "#718E7C" "#986B67" "#8F7270" 17323 2416 3001
"102" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "02" "#92746D" "#759D62" "#A9AE51" 2144 1437 3533
"103" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "03" "#94846B" "#74A25D" "#9A9C63" 1701 1221 3872
"104" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "11" "#7D7A85" "#9B6F64" "#90766F" 3947 1343 1262
"105" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "05" "#74B04F" "#8D727D" "#84936C" 2337 5002 3392
"106" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "15" "#645E78" "#A16F5E" "#6B7851" 12871 716 6172
"107" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "01" "#AB9554" "#A9A556" "#B3AF4C" 2307 1475 2819
"108" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "06" "#73A15E" "#88936C" "#946B74" 1862 1296 1271
"109" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "04" "#847B7B" "#A2855D" "#9AA15E" 5533 1950 3133
"110" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "10" "#87728D" "#996669" "#8B7474" 2029 854 4306
"111" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "16" "#629D91" "#909669" "#6D9F60" 1610 1216 3336
"112" "01be43fe-de30-4c99-b5a0-225c2df2a574" "set1" "07" "#8E718A" "#8F7081" "#A25D65" 2368 1528 825
"113" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "12" "#1EE1DE" "#2CD3D2" "#49B69C" 2552 1285 6610
"114" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "09" "#2CDF20" "#6AED12" "#15EAE7" 5260 6156 5396
"115" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "14" "#3EC19E" "#49B677" "#42BD77" 10836 4371 10840
"116" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "13" "#20DFBE" "#23D9DC" "#19D9E6" 5044 2260 4053
"117" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "08" "#34DC23" "#38EC13" "#35E31C" 1882 3341 3216
"118" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "02" "#CF30BA" "#DB24CA" "#E31CBC" 1130 1922 1964
"119" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "03" "#E3ED12" "#ECE513" "#E8E717" 2645 4344 7137
"120" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "11" "#20DEDF" "#16DFE9" "#27D8D2" 1960 1585 2127
"121" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "05" "#D1992E" "#DFD220" "#DDDC22" 6493 5702 8161
"122" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "15" "#3EC19C" "#51AE9D" "#5FA083" 5040 8328 3306
"123" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "01" "#DD2922" "#D92672" "#DF20D6" 4866 4371 2239
"124" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "06" "#E7ED12" "#CDB032" "#E5EA15" 3092 5559 3058
"125" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "04" "#EADF15" "#D6DA25" "#D6D827" 10564 4790 8041
